#;Tipo;Situação;Título;Tempo estimado;Tempo gasto;Atribuído para;Categoria;Prioridade;Tarefas relacionadas
23198;DSV;Rejeitada;Ordenacao de Listas (fazer uma revisao no sistema);"";0;"";"";Imediata;""
23195;DSV;To Test;[ERRO] - Na criação do evento de serviço, não aparece o contrato para o cliente MSC;"";2,00;Ulisses Telemaco;"";Imediata;""
23194;DSV;To Test;[ERRO] - Contrato não pode sobrepor uma vigência ativa;"";0;Guilherme Melo;"";Imediata;""
23190;DSV;To Do - Ready;[ERRO] - [Invoice] Implementar 'Abrir Fatura'. Muda o status e habilita a inclusao/remocao de itens de serviço.;"";0;"";"";Alta;""
23189;DSV;To Do - Ready;[ERRO] - [CONTRACT] Implementar ativar e desativar registro;1,00;0;"";"";Baixa;copiado #23081
23188;DSV;To Do - Ready;[ERRO] - [BILLING_RULE] Manter versionamento ao salvar ou atualizar o registro;"";0;"";"";Baixa;copiado #22943
23187;DSV;Doing;[ERRO] - [DocCob] Manter Files do DocCob;"";0;Pedro  Rafael;"";Imediata;copiado #22954
23186;DSV;To Do - Ready;[ERRO] - [CONTRACT] Implementar ativar e desativar registro;1,00;0,20;"";"";Baixa;copiado #23081
23179;ANA;Doing;Elaboração dos cenários para definição de escopo;"";5,90;"";"";Normal;""
23174;ANA;Doing;Mapeamento da Liquidação de Boletos Itaú;16,00;3,38;Rafael Monteiro;"";Normal;copiado #23166
23166;DSV;To Do - Ready;Criar modal de detalhes do BillingDocument;8,00;0;"";"";Média;bloqueado por #23149, copiado #23165, copiada #23174
23165;DSV;To Do - Ready;Manter Parâmetros de Configuração de Sistema;8,00;0;"";"";Média;copiado #23164, copiada #23166
23164;DSV;To Do - Ready;Automatização de Deploy ;24,00;0;"";"";Urgente;copiado #23163, copiada #23165
23163;DSV;To Do - Ready;Criar mecanismo para evitar Liquidacao Manual errada;2,00;0;"";"";Alta;copiada #23164
23162;DSV;To Do - Ready;Email Proforma Invoice com anexo caso seja boleto;8,00;0;"";"";Alta;bloqueado por #23161
23161;DSV;To Do - Ready;Emissao de Boleto Itau (PDF) ;20,00;0;"";"";Alta;bloqueado por #23158, bloqueia #23162, copiado #23160
23160;DSV;To Do - Ready; Geracao Automatica de DocCob - Ajustar;4,00;0;"";"";Alta;bloqueado por #23155, copiado #23159, copiada #23161
23159;DSV;To Do - Ready;Geracao Manual de DocCob - Ajustar;3,00;0;"";"";Alta;bloqueado por #23151, copiado #23158, copiada #23160
23158;DSV;To Do - Ready;[Doc Cobranca] Registro o BillingDocumentItauPaymentSlip na API do Itau ;24,00;0;"";"";Muito Alta;bloqueia #23161, copiado #23157, copiada #23159
23157;DSV;To Do - Ready;[Doc Cobranca] Implementar classe BillingDocumentItauPaymentSlipCreationStrategy ;10,00;0;"";"";Muito Alta;bloqueado por #23155, copiada #23158
23156;DSV;To Do - Ready;[Doc Cobranca] Implementar classe BillingDocumentWireTransferCreationStrategy;5,00;0;"";"";Muito Alta;bloqueado por #23155
23155;DSV;To Do - Ready;[Doc Cobranca] Criar estruruta do BillingDocumentCreationStrategy;3,00;0;"";"";Muito Alta;bloqueado por #23149, bloqueia #23156, bloqueia #23157, bloqueia #23160, copiado #23154
23154;DSV;To Do - Ready;CRUD Contract e CRUD ContractItemPayment;13,00;0;"";"";Muito Alta;bloqueado por #23149, copiada #23155
23153;DSV;To Do - Ready; 'BillingDocumentItauPaymentSlipBuilderConfiguration';8,00;0;"";"";Urgente;relacionado a #23151
